GROUPO,AÑO,MIN,MAX,MED,LAST
-1395627293,2008,"2008-01-15 00:00:00","2008-09-24 00:00:00",18.1429,3024
-1395627293,2009,"2009-09-27 00:00:00","2009-09-27 00:00:00",1.0000,2656
-1394403489,2015,"2015-11-21 00:00:00","2015-11-28 00:00:00",1.0000,403
-1391514085,2015,"2015-10-22 00:00:00","2015-11-05 00:00:00",2.5000,426
-1382595804,2016,"2016-02-03 00:00:00","2016-12-17 00:00:00",11.3929,18
-1379857773,2016,"2016-07-29 00:00:00","2016-07-29 00:00:00",1.0000,159
-1354717141,2016,"2016-02-21 00:00:00","2016-12-29 00:00:00",20.8667,6
-1351862979,2016,"2016-04-13 00:00:00","2016-07-13 00:00:00",7.0769,175
-1349541170,2014,"2014-12-04 00:00:00","2014-12-31 00:00:00",4.6667,735
-1349541170,2015,"2015-01-06 00:00:00","2015-12-18 00:00:00",26.6923,383
-1349541170,2016,"2016-01-08 00:00:00","2016-12-28 00:00:00",44.5000,7
-1344218608,2015,"2015-07-07 00:00:00","2015-09-28 00:00:00",6.4615,464
-1344218608,2016,"2016-07-21 00:00:00","2016-10-13 00:00:00",6.5385,83
-1338376234,2016,"2016-02-19 00:00:00","2016-02-23 00:00:00",0.5000,316
-1333043458,2016,"2016-09-23 00:00:00","2016-12-09 00:00:00",8.6667,26
-1329364197,2007,"2007-04-04 00:00:00","2007-10-27 00:00:00",20.7000,3357
-1329364197,2009,"2009-02-13 00:00:00","2009-05-20 00:00:00",4.0417,2786
-1329364197,2010,"2010-01-27 00:00:00","2010-04-07 00:00:00",7.8889,2464
-1326971208,2015,"2015-10-04 00:00:00","2015-11-25 00:00:00",7.5714,406
-1326971208,2016,"2016-02-13 00:00:00","2016-05-19 00:00:00",6.9286,230
-1316994863,2014,"2014-03-12 00:00:00","2014-06-03 00:00:00",6.4615,946
-1315986210,2016,"2016-07-30 00:00:00","2016-10-18 00:00:00",4.0500,78
-1311167170,2016,"2016-01-31 00:00:00","2016-03-06 00:00:00",6.0000,304
-1299824885,2016,"2016-02-13 00:00:00","2016-11-27 00:00:00",9.6333,38
-1298600139,2016,"2016-11-26 00:00:00","2016-12-31 00:00:00",6.0000,4
-1293415888,2015,"2015-11-28 00:00:00","2015-12-25 00:00:00",3.5000,376
-1293415888,2016,"2016-01-02 00:00:00","2016-01-02 00:00:00",0.5000,368
-1288205329,2015,"2015-12-06 00:00:00","2015-12-08 00:00:00",1.0000,393
-1287486119,2016,"2016-06-01 00:00:00","2016-08-19 00:00:00",6.6667,138
-1277000859,2012,"2012-02-22 00:00:00","2012-12-17 00:00:00",16.6667,1479
-1277000859,2013,"2013-01-14 00:00:00","2013-12-19 00:00:00",16.1905,1112
-1277000859,2014,"2014-01-16 00:00:00","2014-06-06 00:00:00",11.8333,943
-1277000859,2015,"2015-01-05 00:00:00","2015-03-16 00:00:00",5.4615,660
-1259196806,2016,"2016-03-12 00:00:00","2016-04-09 00:00:00",2.9000,270
-1256915993,2012,"2012-02-28 00:00:00","2012-06-19 00:00:00",7.0625,1660
-1256915993,2013,"2013-01-16 00:00:00","2013-06-12 00:00:00",6.7273,1302
-1256915993,2014,"2014-01-15 00:00:00","2014-06-11 00:00:00",6.7273,938
-1256915993,2015,"2015-01-14 00:00:00","2015-12-23 00:00:00",12.2857,378
-1256915993,2016,"2016-02-17 00:00:00","2016-06-15 00:00:00",7.5000,203
-1253634656,2016,"2016-07-06 00:00:00","2016-07-28 00:00:00",2.8750,160
-1244439598,2014,"2014-07-08 00:00:00","2014-08-12 00:00:00",3.0000,876
-1244439598,2015,"2015-06-27 00:00:00","2015-08-28 00:00:00",5.2500,495
-1227840061,2016,"2016-06-22 00:00:00","2016-09-23 00:00:00",7.2308,103
-1224266927,2016,"2016-09-25 00:00:00","2016-12-18 00:00:00",8.5000,17
-1218369028,2016,"2016-11-16 00:00:00","2016-12-28 00:00:00",5.3750,7
-1216715253,2016,"2016-08-07 00:00:00","2016-10-09 00:00:00",6.4000,87
-1210107042,2016,"2016-12-04 00:00:00","2016-12-25 00:00:00",5.5000,10
-1210107042,2017,"2017-01-01 00:00:00","2017-01-01 00:00:00",1.0000,3
-1197639944,2016,"2016-10-09 00:00:00","2016-11-18 00:00:00",5.1250,47
-1183102647,2016,"2016-10-05 00:00:00","2016-10-07 00:00:00",1.0000,89
-1176837580,2016,"2016-05-15 00:00:00","2016-05-19 00:00:00",1.0000,230
-1175888562,2016,"2016-10-01 00:00:00","2016-10-03 00:00:00",1.0000,93
-1166701944,2016,"2016-12-14 00:00:00","2016-12-27 00:00:00",1.5556,8
-1158417615,2016,"2016-01-01 00:00:00","2016-11-02 00:00:00",10.2333,63
-1145758928,2016,"2016-05-11 00:00:00","2016-05-14 00:00:00",1.0000,235
-1133935121,2016,"2016-12-18 00:00:00","2016-12-21 00:00:00",2.0000,14
-1133899894,2016,"2016-04-07 00:00:00","2016-04-10 00:00:00",1.0000,269
-1127492894,2016,"2016-11-20 00:00:00","2016-11-20 00:00:00",1.0000,45
-1115506296,2012,"2012-11-29 00:00:00","2012-12-20 00:00:00",3.6667,1476
-1115506296,2013,"2013-01-17 00:00:00","2013-12-19 00:00:00",12.9615,1112
-1115506296,2014,"2014-01-23 00:00:00","2014-12-18 00:00:00",14.3478,748
-1115506296,2015,"2015-01-29 00:00:00","2015-12-17 00:00:00",14.0435,384
-1115506296,2016,"2016-01-27 00:00:00","2016-12-15 00:00:00",14.0870,20
-1097688109,2012,"2012-02-21 00:00:00","2012-04-17 00:00:00",6.3333,1723
